Time;Concentration
1.7487585569978382E7;8.61157710780291E-15
1.7587585569978382E7;1.0473047252223804E-14
1.7687585569978382E7;1.2710616129920634E-14
1.7787585569978382E7;1.5394884326964653E-14
1.7887585569978382E7;1.8608674237581836E-14
1.7987585569978382E7;2.244896268328327E-14
1.8087585569978382E7;2.7029089179673442E-14
1.8187585569978382E7;3.248127469262723E-14
1.8287585569978382E7;3.895948952623678E-14
1.8387585569978382E7;4.664271312781142E-14
1.8487585569978382E7;5.573863310345842E-14
1.8587585569978382E7;6.648783563545268E-14
1.8687585569978382E7;7.916854480465374E-14
1.8787585569978382E7;9.410197407341485E-14
1.8887585569978382E7;1.1165835940332186E-13
1.8987585569978382E7;1.322637501950337E-13
1.9087585569978382E7;1.56407641472531E-13
1.9187585569978382E7;1.846515385199532E-13
1.9287585569978382E7;2.1763855354527487E-13
1.9387585569978382E7;2.561041429212761E-13
1.9487585569978382E7;3.008881031710292E-13
1.9587585569978382E7;3.529479541533347E-13
1.9687585569978382E7;4.133738488944347E-13
1.9787585569978382E7;4.83405161237441E-13
1.9887585569978382E7;5.644489149719835E-13
1.9987585569978382E7;6.581002313954762E-13
2.0087585569978382E7;7.661649863760012E-13
2.0187585569978382E7;8.906848829669779E-13
2.0287585569978382E7;1.0339651614971785E-12
2.0387585569978382E7;1.1986051858576962E-12
2.0487585569978382E7;1.3875321624612325E-12
2.0587585569978382E7;1.6040382670891158E-12
2.0687585569978382E7;1.851821474597822E-12
2.0787585569978382E7;2.135030407258741E-12
2.0887585569978382E7;2.4583135393810546E-12
2.0987585569978382E7;2.826873118845441E-12
2.1087585569978382E7;3.2465241902825126E-12
2.1187585569978382E7;3.723759129889795E-12
2.1287585569978382E7;4.265818128318893E-12
2.1387585569978382E7;4.880766085703026E-12
2.1487585569978382E7;5.5775764117556575E-12
2.1587585569978382E7;6.366222253973243E-12
2.1687585569978382E7;7.2577757083371014E-12
2.1787585569978382E7;8.264515599547327E-12
2.1887585569978382E7;9.400044451749782E-12
2.1987585569978382E7;1.0679415305947644E-11
2.2087585569978382E7;1.2119269076832082E-11
